date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-05-26,2017-05-26 09:10:11,47.0,,5,Friday
2017-05-26,2017-05-26 11:44:29,62.0,,5,Friday
2017-05-26,2017-05-26 13:25:00,75.0,,5,Friday
2017-05-27,2017-05-27 07:01:50,22.0,,6,Saturday
2017-05-27,2017-05-27 07:51:01,47.0,,6,Saturday
2017-05-28,2017-05-28 08:08:14,84.0,,7,Sunday
2017-05-28,2017-05-28 13:38:23,301.0,,7,Sunday
2017-05-28,2017-05-28 13:57:15,260.0,,7,Sunday
2017-05-28,2017-05-28 16:09:07,34.0,,7,Sunday
2017-05-29,2017-05-29 06:59:23,21.0,,1,Monday
2017-05-29,2017-05-29 07:11:22,33.0,,1,Monday
2017-05-29,2017-05-29 07:18:28,65.0,,1,Monday
2017-05-29,2017-05-30 00:02:43,59.0,,1,Monday
2017-05-30,2017-05-30 08:07:35,31.0,,2,Tuesday
2017-05-30,2017-05-30 23:27:28,50.0,,2,Tuesday
2017-05-30,2017-05-30 23:37:12,49.0,,2,Tuesday
2017-05-31,2017-05-31 08:28:41,206.0,,3,Wednesday
2017-05-31,2017-05-31 19:01:19,153.0,,3,Wednesday
2017-05-31,2017-05-31 21:02:29,110.0,,3,Wednesday
2017-05-31,2017-05-31 23:12:34,70.0,,3,Wednesday
2017-06-01,2017-06-01 07:44:29,65.0,,4,Thursday
2017-06-01,2017-06-01 08:05:04,57.0,,4,Thursday
2017-06-01,2017-06-01 08:43:04,153.0,,4,Thursday
2017-06-01,2017-06-01 20:30:27,61.0,,4,Thursday
2017-06-01,2017-06-01 23:02:00,65.0,,4,Thursday
2017-06-01,2017-06-01 23:20:57,89.0,,4,Thursday
2017-06-02,2017-06-02 19:07:13,106.0,,5,Friday
2017-06-02,2017-06-02 20:59:57,83.0,,5,Friday
2017-06-02,2017-06-02 21:41:14,76.0,,5,Friday
2017-06-02,2017-06-02 22:57:25,99.0,,5,Friday
2017-06-03,2017-06-03 06:54:30,10.0,,6,Saturday
2017-06-03,2017-06-03 07:00:23,19.0,,6,Saturday
2017-06-03,2017-06-03 08:06:48,44.0,,6,Saturday
2017-06-03,2017-06-03 08:39:49,99.0,,6,Saturday
2017-06-03,2017-06-03 10:30:18,106.0,,6,Saturday
2017-06-03,2017-06-03 15:06:29,169.0,,6,Saturday
2017-06-03,2017-06-03 17:52:21,123.0,,6,Saturday
2017-06-03,2017-06-03 21:35:27,62.0,,6,Saturday
2017-06-03,2017-06-03 23:25:34,54.0,,6,Saturday
2017-06-04,2017-06-04 09:28:38,65.0,,7,Sunday
2017-06-04,2017-06-04 14:37:40,63.0,,7,Sunday
2017-06-04,2017-06-04 18:54:56,74.0,,7,Sunday
2017-06-04,2017-06-04 21:18:35,75.0,,7,Sunday
2017-06-04,2017-06-04 22:37:13,96.0,,7,Sunday
2017-06-04,2017-06-04 22:40:41,90.0,,7,Sunday
2017-06-04,2017-06-04 22:46:33,106.0,,7,Sunday
2017-06-05,2017-06-05 07:08:45,25.0,,1,Monday
2017-06-05,2017-06-05 07:15:17,56.0,,1,Monday
2017-06-05,2017-06-05 07:33:21,93.0,,1,Monday
2017-06-05,2017-06-05 15:50:55,148.0,,1,Monday
2017-06-05,2017-06-05 16:58:18,105.0,,1,Monday
2017-06-05,2017-06-05 19:44:19,125.0,,1,Monday
2017-06-05,2017-06-05 21:11:19,84.0,,1,Monday
2017-06-05,2017-06-05 21:46:54,59.0,,1,Monday
2017-06-05,2017-06-05 22:07:57,65.0,,1,Monday
2017-06-06,2017-06-06 08:35:15,226.0,,2,Tuesday
