date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-05-27,2017-05-27 07:53:26,51.0,,6,Saturday
2017-05-27,2017-05-27 08:45:01,127.0,,6,Saturday
2017-05-27,2017-05-27 08:58:38,68.0,,6,Saturday
2017-05-28,2017-05-28 21:05:14,74.0,,7,Sunday
2017-05-28,2017-05-28 22:48:42,9.0,,7,Sunday
2017-05-29,2017-05-29 07:26:31,31.0,,1,Monday
2017-05-30,2017-05-30 08:07:31,37.0,,2,Tuesday
2017-05-30,2017-05-30 22:14:42,36.0,,2,Tuesday
2017-05-30,2017-05-31 00:48:21,2.0,,2,Tuesday
2017-05-31,2017-05-31 08:02:06,35.0,,3,Wednesday
2017-05-31,2017-05-31 08:15:39,60.0,,3,Wednesday
2017-05-31,2017-05-31 18:55:44,107.0,,3,Wednesday
2017-05-31,2017-05-31 23:26:06,32.0,,3,Wednesday
2017-06-01,2017-06-01 11:29:21,95.0,,4,Thursday
2017-06-01,2017-06-01 17:19:17,109.0,,4,Thursday
2017-06-01,2017-06-01 17:40:34,108.0,,4,Thursday
2017-06-01,2017-06-01 22:50:20,29.0,,4,Thursday
2017-06-02,2017-06-02 07:49:29,17.0,,5,Friday
2017-06-02,2017-06-02 08:04:22,42.0,,5,Friday
2017-06-02,2017-06-02 08:55:09,54.0,,5,Friday
2017-06-02,2017-06-02 11:51:33,105.0,,5,Friday
2017-06-02,2017-06-02 18:35:59,38.0,,5,Friday
2017-06-02,2017-06-02 19:34:34,62.0,,5,Friday
2017-06-02,2017-06-02 22:08:10,36.0,,5,Friday
2017-06-02,2017-06-02 23:36:42,33.0,,5,Friday
2017-06-03,2017-06-03 07:42:43,19.0,,6,Saturday
2017-06-03,2017-06-03 08:25:47,45.0,,6,Saturday
2017-06-03,2017-06-03 08:28:50,49.0,,6,Saturday
2017-06-03,2017-06-03 18:42:18,98.0,,6,Saturday
2017-06-04,2017-06-04 07:59:45,6.0,,7,Sunday
2017-06-04,2017-06-04 10:50:46,78.0,,7,Sunday
2017-06-04,2017-06-04 17:57:27,69.0,,7,Sunday
2017-06-04,2017-06-04 18:34:42,73.0,,7,Sunday
2017-06-05,2017-06-05 07:03:29,2.0,,1,Monday
2017-06-05,2017-06-05 08:56:55,46.0,,1,Monday
2017-06-05,2017-06-05 09:40:25,72.0,,1,Monday
2017-06-05,2017-06-05 10:07:00,85.0,,1,Monday
2017-06-05,2017-06-05 23:08:42,16.0,,1,Monday
2017-06-05,2017-06-05 23:40:13,27.0,,1,Monday
2017-06-06,2017-06-06 08:11:11,18.0,,2,Tuesday
2017-06-06,2017-06-06 12:08:37,76.0,,2,Tuesday
2017-06-06,2017-06-06 13:10:38,80.0,,2,Tuesday
2017-06-06,2017-06-06 15:15:18,63.0,,2,Tuesday
2017-06-06,2017-06-06 18:35:21,61.0,,2,Tuesday
2017-06-06,2017-06-06 20:15:05,49.0,,2,Tuesday
2017-06-06,2017-06-06 22:58:52,34.0,,2,Tuesday
2017-06-07,2017-06-07 08:57:57,63.0,,3,Wednesday
2017-06-07,2017-06-07 21:46:15,23.0,,3,Wednesday
2017-06-07,2017-06-07 23:17:28,22.0,,3,Wednesday
2017-06-08,2017-06-08 09:22:19,50.0,,4,Thursday
2017-06-08,2017-06-08 20:58:51,63.0,,4,Thursday
2017-06-09,2017-06-09 08:17:45,21.0,,5,Friday
2017-06-09,2017-06-09 08:29:55,29.0,,5,Friday
2017-06-09,2017-06-09 15:23:58,45.0,,5,Friday
2017-06-09,2017-06-09 21:25:31,36.0,,5,Friday
2017-06-09,2017-06-09 21:29:59,39.0,,5,Friday
2017-06-09,2017-06-10 00:42:13,1.0,,5,Friday
2017-06-10,2017-06-10 07:16:43,3.0,,6,Saturday
2017-06-10,2017-06-10 07:19:25,0.0,,6,Saturday
2017-06-10,2017-06-10 16:17:18,48.0,,6,Saturday
2017-06-10,2017-06-10 21:23:26,28.0,,6,Saturday
2017-06-10,2017-06-10 21:49:16,19.0,,6,Saturday
2017-06-10,2017-06-10 23:50:27,28.0,,6,Saturday
2017-06-11,2017-06-11 08:36:52,29.0,,7,Sunday
2017-06-11,2017-06-11 19:47:45,40.0,,7,Sunday
2017-06-11,2017-06-11 22:59:19,17.0,,7,Sunday
2017-06-11,2017-06-11 23:26:58,19.0,,7,Sunday
2017-06-12,2017-06-12 07:25:27,13.0,,1,Monday
2017-06-12,2017-06-12 09:02:09,63.0,,1,Monday
2017-06-12,2017-06-12 15:45:09,57.0,,1,Monday
2017-06-12,2017-06-12 22:42:19,21.0,,1,Monday
2017-06-12,2017-06-12 23:02:03,29.0,,1,Monday
2017-06-12,2017-06-12 23:27:48,43.0,,1,Monday
2017-06-13,2017-06-13 08:28:17,41.0,,2,Tuesday
2017-06-13,2017-06-13 08:40:26,54.0,,2,Tuesday
2017-06-13,2017-06-13 21:22:12,18.0,,2,Tuesday
2017-06-13,2017-06-13 21:34:34,19.0,,2,Tuesday
2017-06-13,2017-06-13 21:48:39,8.0,,2,Tuesday
2017-06-13,2017-06-13 22:03:10,2.0,,2,Tuesday
2017-06-13,2017-06-13 22:29:33,27.0,,2,Tuesday
2017-06-13,2017-06-13 23:29:27,14.0,,2,Tuesday
2017-06-14,2017-06-14 22:06:00,14.0,,3,Wednesday
2017-06-14,2017-06-14 22:10:00,15.0,,3,Wednesday
2017-06-15,2017-06-15 09:15:11,45.0,,4,Thursday
2017-06-15,2017-06-15 14:15:10,53.0,,4,Thursday
2017-06-15,2017-06-15 21:48:47,13.0,,4,Thursday
2017-06-16,2017-06-16 10:09:54,83.0,,5,Friday
2017-06-16,2017-06-16 23:06:53,18.0,,5,Friday
2017-06-17,2017-06-17 12:29:12,21.0,,6,Saturday
2017-06-17,2017-06-17 19:59:54,74.0,,6,Saturday
2017-06-17,2017-06-17 22:22:46,31.0,,6,Saturday
2017-06-18,2017-06-18 08:45:01,36.0,,7,Sunday
2017-06-18,2017-06-18 18:07:06,42.0,,7,Sunday
2017-06-18,2017-06-18 21:49:02,22.0,,7,Sunday
2017-06-18,2017-06-18 23:01:25,27.0,,7,Sunday
2017-06-18,2017-06-18 23:43:24,35.0,,7,Sunday
2017-06-19,2017-06-19 09:01:55,55.0,,1,Monday
2017-06-19,2017-06-19 19:43:13,50.0,,1,Monday
2017-06-19,2017-06-19 23:23:37,34.0,,1,Monday
2017-06-19,2017-06-19 23:24:07,23.0,,1,Monday
2017-06-20,2017-06-20 07:46:23,1.0,,2,Tuesday
2017-06-20,2017-06-20 08:27:42,23.0,,2,Tuesday
2017-06-20,2017-06-20 10:20:17,96.0,,2,Tuesday
2017-06-20,2017-06-20 12:14:57,67.0,,2,Tuesday
2017-06-20,2017-06-20 14:25:48,75.0,,2,Tuesday
2017-06-20,2017-06-20 15:24:55,69.0,,2,Tuesday
2017-06-20,2017-06-20 17:54:08,74.0,,2,Tuesday
2017-06-20,2017-06-20 19:36:10,76.0,,2,Tuesday
2017-06-20,2017-06-20 21:35:38,18.0,,2,Tuesday
2017-06-20,2017-06-20 23:10:54,9.0,,2,Tuesday
2017-06-21,2017-06-21 08:15:37,10.0,,3,Wednesday
2017-06-21,2017-06-21 18:47:51,32.0,,3,Wednesday
2017-06-22,2017-06-22 09:34:38,52.0,,4,Thursday
2017-06-22,2017-06-22 15:52:16,54.0,,4,Thursday
2017-06-22,2017-06-22 17:18:36,37.0,,4,Thursday
2017-06-23,2017-06-23 08:02:02,4.0,,5,Friday
2017-06-23,2017-06-23 17:35:09,91.0,,5,Friday
2017-06-23,2017-06-23 20:19:10,57.0,,5,Friday
2017-06-23,2017-06-23 20:48:04,43.0,,5,Friday
2017-06-23,2017-06-23 23:20:10,19.0,,5,Friday
2017-06-23,2017-06-23 23:32:01,18.0,,5,Friday
2017-06-23,2017-06-24 00:36:31,3.0,,5,Friday
2017-06-24,2017-06-24 07:57:52,10.0,,6,Saturday
2017-06-24,2017-06-24 08:01:50,10.0,,6,Saturday
2017-06-24,2017-06-24 22:04:27,31.0,,6,Saturday
2017-06-25,2017-06-25 08:07:42,23.0,,7,Sunday
2017-06-25,2017-06-25 09:48:06,51.0,,7,Sunday
2017-06-25,2017-06-25 10:25:35,73.0,,7,Sunday
2017-06-25,2017-06-25 17:05:44,37.0,,7,Sunday
2017-06-25,2017-06-25 22:05:24,19.0,,7,Sunday
2017-06-26,2017-06-26 08:08:06,27.0,,1,Monday
2017-06-26,2017-06-26 08:43:17,63.0,,1,Monday
2017-06-26,2017-06-26 08:56:25,47.0,,1,Monday
2017-06-26,2017-06-26 13:08:45,67.0,,1,Monday
2017-06-27,2017-06-27 08:24:47,14.0,,2,Tuesday
2017-06-27,2017-06-27 22:50:39,16.0,,2,Tuesday
2017-06-28,2017-06-28 21:31:03,13.0,,3,Wednesday
2017-06-28,2017-06-28 22:15:15,17.0,,3,Wednesday
2017-06-29,2017-06-29 08:25:54,21.0,,4,Thursday
2017-06-29,2017-06-29 23:20:58,6.0,,4,Thursday
2017-06-30,2017-06-30 08:11:14,5.0,,5,Friday
2017-06-30,2017-06-30 08:20:12,21.0,,5,Friday
2017-06-30,2017-06-30 08:54:08,35.0,,5,Friday
2017-07-01,2017-07-01 07:49:00,9.0,,6,Saturday
2017-07-01,2017-07-01 07:51:21,15.0,,6,Saturday
2017-07-01,2017-07-01 07:58:30,15.0,,6,Saturday
2017-07-01,2017-07-01 09:13:29,58.0,,6,Saturday
2017-07-01,2017-07-01 10:58:35,60.0,,6,Saturday
2017-07-01,2017-07-01 20:14:12,77.0,,6,Saturday
2017-07-01,2017-07-01 22:58:02,16.0,,6,Saturday
2017-07-02,2017-07-02 13:54:14,73.0,,7,Sunday
2017-07-02,2017-07-02 14:10:55,82.0,,7,Sunday
